Beam center : 0 0 2 mm
Beam power  : 10 W
Beam waist  : 0.3 mm (radius at the intensity of 1/e^2)
RayleighLength : 1157.94 mm (M^2==1)
Peak intensity : 70.7355 W/mm^2
Time duration : -1.79769e+308 - 1.79769e+308 s
Detuning : 0 [rad/s] (0 [Hz])
Beam center : 0 0 3 mm
Beam center timing : 2e-06 s
Beam energy  : 0.1 J
Beam waist  : 2 mm (radius at the intensity of 1/e^2)
Beam duration : 2e-09 s (FWHM), 8.49322e-10 s (sigma)
RayleighLength : 35398.2 mm (M^2==1)
Peak power : 4.69719e+07 W
Peak intensity at the waist : 7.4758e+06 W/mm^2
Rho 1 0 0 0 0
Rho 0.449041 -1.63392e-162 -4.38751e-162 3.45846e-323 0
Rho 1 0 0 0 0
Rho 0.538057 3.28239e-104 1.73929e-104 2.56595e-207 7.80545e-216
Rho 1 0 0 0 0
Rho 0.404366 -6.21216e-153 -9.43165e-154 4.98209e-305 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.489784 0 0 0 0
Rho 0.60389 2.06634e-97 3.0479e-97 2.24087e-193 6.96012e-195
Rho 0.710937 0 0 0 0
Rho 0.724981 2.7569e-11 -1.7631e-12 1.05265e-21 7.27882e-20
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.424976 2.53581e-47 2.45309e-48 1.5275e-93 6.40348e-115
Rho 0.785822 0 0 0 0
Rho 1 0 0 0 0
Rho 0.469882 3.86801e-302 -6.66868e-302 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.588389 0 0 0 0
Rho 0.484014 9.07764e-07 1.90655e-07 1.7776e-12 7.43071e-10
Rho 1 0 0 0 0
Rho 0.418877 1.50684e-06 -2.0651e-06 1.56017e-11 1.16571e-13
Rho 0.525768 3.45885e-06 1.67949e-05 5.59243e-10 2.00825e-14
Rho 1 0 0 0 0
Rho 0.946407 0 0 0 0
Rho 0.641936 -1.02294e-36 -5.5645e-36 4.98814e-71 1.46999e-87
Rho 0.565464 0 0 0 0
Rho 0.541986 -4.41868e-42 -5.23649e-43 3.64939e-83 1.60224e-84
Rho 0.512877 -1.23255e-207 -1.41335e-207 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.739792 0 0 0 0
Rho 0.477038 0 0 0 0
Rho 0.567687 0 0 0 0
Rho 1 0 0 0 0
Rho 0.655115 0 0 0 0
Rho 0.884877 0 0 0 0
Rho 0.514348 0 0 0 0
Rho 0.92347 0 0 0 0
Rho 0.408128 -1.45822e-209 1.58088e-209 0 0
Rho 0.435631 0 0 0 0
Rho 1 0 0 0 0
Rho 0.447308 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.560619 0 0 0 0
Rho 0.520915 6.70007e-120 3.62558e-119 2.6116e-237 1.18826e-262
Rho 0.70985 3.09326e-09 -6.55634e-10 1.40848e-17 1.09133e-15
Rho 0.645276 5.72767e-44 4.17795e-43 2.75564e-85 6.67433e-94
Rho 1 0 0 0 0
Rho 0.753206 -9.17553e-74 3.0953e-74 6.35273e-147 3.36658e-151
Rho 0.633502 9.48536e-255 -3.65759e-255 0 0
Rho 0.53313 0.000130879 -0.000165271 8.33639e-08 3.64013e-11
Rho 0.537774 1.4709e-16 2.38807e-16 1.46269e-31 7.62038e-34
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.529307 -2.68592e-06 2.62543e-06 2.66519e-11 2.11506e-16
Rho 0.616558 0 0 0 0
Rho 0.783345 0 0 0 0
Rho 1 0 0 0 0
Rho 0.571434 -2.24199e-07 3.76019e-08 9.04374e-14 2.43531e-19
Rho 1 0 0 0 0
Rho 0.923999 0 0 0 0
Rho 0.532766 2.57414e-55 -2.84146e-55 1.26002e-110 -1.15039e-110
Rho 0.550174 0 0 0 0
Rho 0.592171 0 0 0 0
Rho 0.580665 2.46375e-212 1.79735e-212 0 0
Rho 0.429112 -1.30752e-294 -1.65723e-294 0 0
Rho 0.55411 -1.92315e-36 2.38855e-36 1.697e-71 -4.3848e-95
Rho 0.656457 0 0 0 0
Rho 0.884615 0 0 0 0
Rho 0.550305 0 0 0 0
Rho 0.428532 0 0 0 0
Rho 1 0 0 0 0
Rho 0.573609 5.51652e-10 -1.5081e-09 4.49553e-18 7.56052e-20
Rho 0.804305 1.60777e-24 -5.90978e-26 9.0966e-49 -2.3456e-51
Rho 0.612932 1.51992e-296 -2.63715e-296 0 0
Rho 0.553966 0 0 0 0
Rho 0.77417 0 0 0 0
Rho 0.856437 0 0 0 0
Rho 0.567452 0 0 0 0
Rho 0.641723 0 0 0 0
Rho 1 0 0 0 0
Rho 0.746061 1.45469e-50 1.29836e-48 2.37022e-96 1.13221e-114
Rho 0.559835 -7.97761e-228 -3.72338e-228 0 0
Rho 0.611925 0 0 0 0
Rho 0.392803 0 0 0 0
Rho 0.514362 -4.35575e-13 -3.15784e-13 5.62748e-25 6.49558e-37
Rho 1 0 0 0 0
Rho 0.574319 0 0 0 0
Rho 1 0 0 0 0
Rho 0.549172 1.9726e-47 4.08775e-48 7.37532e-94 3.12459e-95
Rho 0.516624 0 0 0 0
Rho 0.452585 0 0 0 0
Rho 0.553959 0 0 0 0
Rho 0.395269 -1.14859e-27 2.05111e-27 1.40322e-53 9.24974e-80
Rho 0.883964 0 0 0 0
Rho 0.702184 0 0 0 0
Rho 0.604104 0 0 0 0
Rho 0.536737 0 0 0 0
Rho 0.577105 0 0 0 0
Rho 0.856632 0 0 0 0
Rho 0.626721 0 0 0 0
Rho 0.525621 6.49593e-15 3.68208e-13 2.57984e-25 5.76173e-27
Rho 0.728144 0 0 0 0
Rho 0.901033 0 0 0 0
Rho 0.598926 0 0 0 0
Rho 0.832715 0 0 0 0
Rho 0.545836 0 0 0 0
Rho 0.412768 -7.87516e-72 -4.81776e-70 5.62472e-139 -1.04966e-151
Rho 0.642834 2.42695e-82 6.0693e-82 6.6473e-163 9.68836e-167
Rho 0.581091 0 0 0 0
Rho 0.572982 4.19991e-181 6.57113e-182 0 0
Rho 0.526642 0 0 0 0
Rho 0.837887 8.71821e-304 1.00324e-302 0 0
Rho 0.448708 7.79265e-52 5.14951e-51 -9.38824e-103 9.74386e-103
Rho 0.537623 0 0 0 0
Rho 0.438606 -1.21187e-108 8.56674e-109 4.88725e-216 2.18634e-221
Rho 0.760366 8.02363e-321 1.41056e-320 0 0
Rho 0.586026 -3.18262e-20 -1.90715e-20 2.34889e-39 1.77295e-55
Rho 0.911818 0 0 0 0
Rho 0.583272 2.51128e-293 4.31266e-294 0 0
Rho 0.537049 -2.27828e-79 -6.22083e-79 8.17227e-157 3.97967e-180
Rho 0.671692 0 0 0 0
Rho 0.559069 1.79793e-32 1.89951e-30 6.45102e-60 7.62562e-66
Rho 0.809817 1.28655e-85 -4.3162e-86 2.07003e-170 -3.76349e-171
Rho 0.696101 0 0 0 0
Rho 0.523247 0 0 0 0
Rho 0.405242 2.95019e-07 1.3472e-07 2.59562e-13 2.31682e-19
Rho 0.536533 0 0 0 0
Rho 1 0 0 0 0
Rho 0.527756 0 0 0 0
Rho 0.574102 -1.94261e-06 5.62484e-06 6.16834e-11 7.18333e-16
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.533587 -7.0046e-199 8.46199e-199 0 0
Rho 1 0 0 0 0
Rho 0.479117 0 0 0 0
Rho 0.552168 -3.80631e-22 -6.2711e-21 7.14835e-41 9.00963e-61
Rho 1 0 0 0 0
Rho 0.981139 0 0 0 0
Rho 0.401617 5.27996e-201 -5.32751e-201 0 0
Rho 0.592799 0 0 0 0
Rho 0.447548 0 0 0 0
